household_id,chunk_text
HH1,"Household HH1 is located in Village_11, Lau, Kaduna. The respondent is a 53-year-old Female who is Single with an education level of Quranic. Their main crops include Maize, Tomato, and Cassava, while they also rear Poultry, Pig, and Sheep. Reported outputs are 440.02465108771486kg in the wet season and 936.411039984563kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Public vehicle and the market is 7.62 km away. The main buyer type is Retailer."
HH2,"Household HH2 is located in Village_85, Kafanchan, Kaduna. The respondent is a 28-year-old Female who is Divorced with an education level of Tertiary. Their main crops include Tomato, Soybean, and Soybean, while they also rear Goat, Poultry, and Cattle. Reported outputs are 925.2071641121224kg in the wet season and 356.2817745759978kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Bicycle and the market is 8.26 km away. The main buyer type is Retailer."
HH3,"Household HH3 is located in Village_6, Igabi, Kaduna. The respondent is a 43-year-old Male who is Widowed with an education level of Adult Edu.. Their main crops include Soybean, Cassava, and Tomato, while they also rear Poultry, Pig, and Sheep. Reported outputs are 661.1407816701048kg in the wet season and 671.2786579352703kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Walking and the market is 15.51 km away. The main buyer type is Processor."
HH4,"Household HH4 is located in Village_24, Kaduna South, Kaduna. The respondent is a 35-year-old Female who is Married with an education level of Secondary. Their main crops include Sorghum, Cassava, and Millet, while they also rear Goat, Goat, and Sheep. Reported outputs are 787.5426293179531kg in the wet season and 622.5879619629856kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Motorcycle and the market is 15.08 km away. The main buyer type is Processor."
HH5,"Household HH5 is located in Village_24, Kaura, Kaduna. The respondent is a 19-year-old Female who is Married with an education level of Tertiary. Their main crops include Groundnut, Millet, and Sorghum, while they also rear Cattle, Pig, and Pig. Reported outputs are 935.4202334084kg in the wet season and 936.4247979921174kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Animal cart and the market is 16.17 km away. The main buyer type is Assembler."
HH6,"Household HH6 is located in Village_5, Giwa, Kaduna. The respondent is a 36-year-old Female who is Single with an education level of Secondary. Their main crops include Cassava, Millet, and Cassava, while they also rear Goat, Pig, and Pig. Reported outputs are 852.8915216885139kg in the wet season and 787.0084604859438kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Public vehicle and the market is 10.76 km away. The main buyer type is Assembler."
HH7,"Household HH7 is located in Village_51, Jaba, Kaduna. The respondent is a 26-year-old Male who is Married with an education level of Quranic. Their main crops include Sorghum, Groundnut, and Sorghum, while they also rear Goat, Pig, and Poultry. Reported outputs are 838.0122546843523kg in the wet season and 279.09491357208947kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Motorcycle and the market is 0.77 km away. The main buyer type is Processor."
HH8,"Household HH8 is located in Village_46, Shanga, Kaduna. The respondent is a 39-year-old Male who is Divorced with an education level of Quranic. Their main crops include Cassava, Cassava, and Rice, while they also rear Pig, Pig, and Poultry. Reported outputs are 381.8448055176456kg in the wet season and 770.349539209621kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Public vehicle and the market is 18.43 km away. The main buyer type is Retailer."
HH9,"Household HH9 is located in Village_70, Samaru, Kaduna. The respondent is a 28-year-old Female who is Divorced with an education level of Tertiary. Their main crops include Maize, Soybean, and Cassava, while they also rear Pig, Cattle, and Sheep. Reported outputs are 562.6561775323877kg in the wet season and 602.1829177810441kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Bicycle and the market is 15.17 km away. The main buyer type is Processor."
HH10,"Household HH10 is located in Village_94, Birnin Gwari, Kaduna. The respondent is a 33-year-old Female who is Married with an education level of Tertiary. Their main crops include Cassava, Sorghum, and Sorghum, while they also rear Pig, Cattle, and Sheep. Reported outputs are 651.292463427294kg in the wet season and 849.8473482177754kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Public vehicle and the market is 18.1 km away. The main buyer type is Wholesaler."
HH11,"Household HH11 is located in Village_83, Sabon Gari, Kaduna. The respondent is a 18-year-old Female who is Single with an education level of Quranic. Their main crops include Millet, Tomato, and Millet, while they also rear Pig, Sheep, and Poultry. Reported outputs are 867.7749364558441kg in the wet season and 648.4770129874557kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Bicycle and the market is 3.09 km away. The main buyer type is Retailer."
HH12,"Household HH12 is located in Village_43, Zangon Kataf, Kaduna. The respondent is a 51-year-old Female who is Divorced with an education level of Tertiary. Their main crops include Sorghum, Maize, and Millet, while they also rear Poultry, Poultry, and Sheep. Reported outputs are 262.3449211227411kg in the wet season and 726.0264081272408kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Public vehicle and the market is 1.27 km away. The main buyer type is Processor."
HH13,"Household HH13 is located in Village_22, Jaba, Kaduna. The respondent is a 65-year-old Female who is Married with an education level of Tertiary. Their main crops include Tomato, Soybean, and Cassava, while they also rear Sheep, Sheep, and Pig. Reported outputs are 885.9438771193422kg in the wet season and 602.6629943482887kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Motorcycle and the market is 0.58 km away. The main buyer type is Assembler."
HH14,"Household HH14 is located in Village_36, Samaru, Kaduna. The respondent is a 20-year-old Male who is Single with an education level of None. Their main crops include Tomato, Sorghum, and Millet, while they also rear Pig, Cattle, and Goat. Reported outputs are 836.2980868511331kg in the wet season and 428.73893870721344kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Animal cart and the market is 15.87 km away. The main buyer type is Wholesaler."
